Date,Open,High,Low,Close,Adj Close,Volume,pos,neg,neu
4/24/2015,82.769997,82.940002,81.480003,81.529999,81.529999,29660400,0.3333333333333333,0.3333333333333333,0.3333333333333333
4/27/2015,81.870003,82.93,81.629997,81.910004,81.910004,25446000,0.0,0.0,1.0
4/28/2015,81.83000200000001,81.900002,80.230003,80.68,80.68,23775300,0.0,0.0,1.0
4/29/2015,80.010002,81.389999,79.519997,80.470001,80.470001,26430300,0.25,0.25,0.5
4/30/2015,80.010002,80.959999,78.32,78.769997,78.769997,28999000,1.0,0.0,0.0
5/1/2015,79.239998,79.760002,78.110001,78.989998,78.989998,24136400,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/4/2015,79.33000200000001,79.690002,78.629997,78.809998,78.809998,14692000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/5/2015,78.550003,78.800003,77.220001,77.559998,77.559998,22311300,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/6/2015,77.970001,78.809998,77.050003,78.099998,78.099998,28663000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/7/2015,78.0,78.940002,77.559998,78.43,78.43,19749400,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/8/2015,79.099998,79.230003,78.029999,78.510002,78.510002,19943600,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/11/2015,78.480003,79.029999,77.93,78.010002,78.010002,18874100,0.0,0.3333333333333333,0.6666666666666666
5/12/2015,77.870003,77.889999,76.790001,77.459999,77.459999,21285300,0.2222222222222222,0.1111111111111111,0.6666666666666666
5/13/2015,77.720001,78.529999,77.650002,78.440002,78.440002,21512300,0.0,0.0,1.0
5/14/2015,78.940002,81.849998,78.66999799999999,81.370003,81.370003,49438000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/15/2015,81.410004,81.519997,80.18,80.41999799999999,80.41999799999999,27069900,0.0,0.75,0.25
5/18/2015,80.33000200000001,81.379997,80.230003,80.879997,80.879997,21613700,0.5,0.25,0.25
5/19/2015,81.25,81.690002,80.550003,80.629997,80.629997,17955400,0.0,0.0,1.0
5/20/2015,80.470001,81.099998,79.459999,80.550003,80.550003,23056900,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/21/2015,80.190002,80.91999799999999,80.08000200000001,80.480003,80.480003,13402700,0.25,0.25,0.5
5/22/2015,80.349998,81.309998,80.25,80.540001,80.540001,19567900,0.0,0.0,1.0
5/26/2015,80.43,80.599998,79.08000200000001,79.33000200000001,79.33000200000001,16321300,0.0,0.0,1.0
5/27/2015,79.599998,80.660004,79.43,80.550003,80.550003,14160900,0.0,0.0,1.0
5/28/2015,80.25,81.07,80.0,80.150002,80.150002,11982000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/29/2015,79.949997,80.07,78.879997,79.190002,79.190002,16134600,0.0,0.0,1.0
6/1/2015,79.300003,80.379997,78.660004,80.290001,80.290001,18119000,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/2/2015,79.760002,81.349998,79.559998,80.440002,80.440002,18923300,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/3/2015,81.349998,82.529999,81.25,82.440002,82.440002,31594700,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/4/2015,82.139999,82.949997,81.510002,82.050003,82.050003,20863900,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/5/2015,81.870003,82.459999,81.510002,82.139999,82.139999,16143100,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/8/2015,81.82,82.0,80.129997,80.66999799999999,80.66999799999999,16915500,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/9/2015,80.599998,81.190002,79.32,80.66999799999999,80.66999799999999,16497500,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/10/2015,80.83000200000001,82.599998,80.809998,82.160004,82.160004,21531200,0.0,0.0,1.0
6/11/2015,82.309998,82.900002,81.360001,81.83000200000001,81.83000200000001,18656800,0.0,0.0,1.0
6/12/2015,81.370003,82.089996,81.199997,81.529999,81.529999,11417900,0.0,0.0,1.0
6/15/2015,80.550003,80.93,80.07,80.709999,80.709999,18805100,0.0,0.0,1.0
6/16/2015,80.82,81.510002,80.449997,81.059998,81.059998,13693700,0.5,0.0,0.5
6/17/2015,81.760002,82.220001,81.339996,81.790001,81.790001,18350300,0.5,0.0,0.5
6/18/2015,81.639999,83.190002,81.57,82.910004,82.910004,26782600,0.0,0.0,1.0
6/19/2015,82.83000200000001,82.980003,82.120003,82.510002,82.510002,23353200,0.0,0.0,1.0
6/22/2015,83.410004,84.970001,83.309998,84.739998,84.739998,29383100,0.0,0.0,1.0
6/23/2015,84.959999,87.970001,84.760002,87.879997,87.879997,50667900,0.3333333333333333,0.3333333333333333,0.3333333333333333
6/24/2015,87.660004,89.25,87.449997,88.860001,88.860001,41370200,0.0,0.0,1.0
6/25/2015,89.260002,89.400002,87.839996,87.980003,87.980003,27302000,0.0,0.0,1.0
6/26/2015,88.120003,88.339996,86.83000200000001,88.010002,88.010002,38214600,0.0,0.0,1.0
6/29/2015,86.610001,87.5,85.730003,85.800003,85.800003,35957900,0.0,0.42857142857142855,0.5714285714285714
6/30/2015,86.599998,86.699997,85.57,85.769997,85.769997,23016500,0.0,0.6666666666666666,0.3333333333333333
7/1/2015,86.769997,87.949997,86.489998,86.910004,86.910004,25260000,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/2/2015,87.400002,87.440002,86.339996,87.290001,87.290001,16908800,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/6/2015,86.489998,88.190002,86.389999,87.550003,87.550003,24635900,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/7/2015,87.800003,87.849998,85.230003,87.220001,87.220001,33059900,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/8/2015,86.290001,86.75,85.449997,85.650002,85.650002,24399300,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/9/2015,86.730003,87.599998,85.650002,85.879997,85.879997,23144200,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/10/2015,87.349998,88.220001,86.769997,87.949997,87.949997,23245900,0.2,0.0,0.8
7/13/2015,88.660004,90.220001,88.41999799999999,90.099998,90.099998,29976700,0.0,0.0,1.0
7/14/2015,90.459999,90.800003,89.650002,89.68,89.68,26627800,0.3333333333333333,0.3333333333333333,0.3333333333333333
7/15/2015,90.0,90.989998,89.41999799999999,89.760002,89.760002,30886600,0.0,0.0,1.0
7/16/2015,90.279999,90.860001,89.769997,90.849998,90.849998,21804100,0.0,0.0,1.0
7/17/2015,92.550003,95.389999,92.540001,94.970001,94.970001,54001600,0.0,0.0,1.0
7/20/2015,95.849998,98.599998,95.360001,97.910004,97.910004,54860500,0.0,0.3333333333333333,0.6666666666666666
7/21/2015,98.949997,99.239998,97.139999,98.389999,98.389999,39453300,0.0,0.0,1.0
7/22/2015,96.739998,97.58000200000001,95.91999799999999,97.040001,97.040001,28299500,0.0,0.0,1.0
7/23/2015,96.959999,97.449997,94.809998,95.440002,95.440002,29418800,0.16666666666666666,0.16666666666666666,0.6666666666666666
7/24/2015,97.349998,97.760002,95.879997,96.949997,96.949997,33444900,0.0,0.0,1.0
7/27/2015,96.58000200000001,96.610001,93.83000200000001,94.16999799999999,94.16999799999999,38585400,0.0,0.16666666666666666,0.8333333333333334
7/28/2015,94.839996,95.559998,93.309998,95.290001,95.290001,35236000,0.0,0.0,1.0
7/29/2015,96.32,97.279999,94.739998,96.989998,96.989998,64648300,0.0,1.0,0.0
7/30/2015,94.910004,95.809998,91.800003,95.209999,95.209999,86211300,0.0,0.25,0.75
7/31/2015,94.949997,96.33000200000001,93.949997,94.010002,94.010002,46509000,0.0,0.25,0.75
8/3/2015,93.529999,95.08000200000001,92.800003,94.139999,94.139999,29343100,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/4/2015,93.790001,94.730003,93.33000200000001,94.059998,94.059998,20136000,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/5/2015,95.25,97.089996,95.18,96.440002,96.440002,29813200,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/6/2015,97.18,98.739998,94.41999799999999,95.120003,95.120003,42271300,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/7/2015,95.379997,95.400002,93.610001,94.300003,94.300003,23199100,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/10/2015,95.68,95.900002,93.629997,94.150002,94.150002,21624200,0.6666666666666666,0.0,0.3333333333333333
8/11/2015,93.730003,94.760002,92.900002,93.620003,93.620003,22491000,0.0,0.0,1.0
8/12/2015,92.699997,94.440002,91.190002,94.190002,94.190002,27050500,0.5,0.0,0.5
8/13/2015,94.050003,94.730003,93.349998,93.43,93.43,17451800,0.0,0.0,1.0
8/14/2015,93.540001,94.720001,93.209999,94.41999799999999,94.41999799999999,15929700,0.0,0.0,1.0
8/17/2015,94.41999799999999,94.459999,93.389999,93.93,93.93,18313500,0.3333333333333333,0.0,0.6666666666666666
8/18/2015,94.08000200000001,95.849998,94.040001,95.16999799999999,95.16999799999999,22278800,0.0,0.0,1.0
8/19/2015,94.629997,96.099998,94.160004,95.309998,95.309998,23156500,0.6,0.0,0.4
8/20/2015,93.540001,94.769997,90.459999,90.559998,90.559998,44598200,0.3333333333333333,0.3333333333333333,0.3333333333333333
8/21/2015,87.519997,89.18,85.610001,86.059998,86.059998,62778700,0.3333333333333333,0.0,0.6666666666666666
8/24/2015,77.029999,82.089996,72.0,82.089996,82.089996,83710700,0.25,0.0,0.75
8/25/2015,86.949997,87.66999799999999,83.0,83.0,83.0,52021200,0.42857142857142855,0.0,0.5714285714285714
8/26/2015,85.949997,87.459999,83.260002,87.190002,87.190002,45124300,0.14285714285714285,0.0,0.8571428571428571
8/27/2015,89.099998,90.059998,87.190002,89.730003,89.730003,42431400,0.2222222222222222,0.2222222222222222,0.5555555555555556
8/28/2015,89.879997,91.480003,89.790001,91.010002,91.010002,33215900,0.0,0.3333333333333333,0.6666666666666666
8/31/2015,90.599998,91.050003,88.889999,89.43,89.43,32850700,0.4,0.0,0.6
9/1/2015,86.849998,89.389999,86.5,87.230003,87.230003,36097400,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/2/2015,88.809998,89.889999,87.629997,89.889999,89.889999,27190500,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/3/2015,89.760002,89.82,87.730003,88.150002,88.150002,27048200,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/4/2015,87.199997,88.389999,86.699997,88.260002,88.260002,27328700,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/8/2015,89.690002,90.239998,88.83000200000001,89.529999,89.529999,27012500,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/9/2015,90.779999,91.980003,90.16999799999999,90.440002,90.440002,32551100,0.3333333333333333,0.3333333333333333,0.3333333333333333
9/10/2015,90.07,92.059998,89.629997,91.980003,91.980003,26437400,0.0,0.0,1.0
9/11/2015,91.68,92.08000200000001,91.129997,92.050003,92.050003,21185000,0.0,0.0,1.0
9/14/2015,92.309998,92.620003,91.599998,92.309998,92.309998,20127900,0.0,0.0,1.0
9/15/2015,92.370003,93.25,91.790001,92.900002,92.900002,18859400,0.0,0.3333333333333333,0.6666666666666666
9/16/2015,92.900002,93.599998,92.629997,93.449997,93.449997,16321200,0.0,0.0,1.0
9/17/2015,93.370003,95.510002,92.900002,94.339996,94.339996,27841800,0.2,0.0,0.8
9/18/2015,93.199997,95.190002,93.050003,94.400002,94.400002,62300000,0.0,0.0,1.0
9/21/2015,94.620003,96.489998,94.519997,95.550003,95.550003,28790000,0.0,0.0,1.0
9/22/2015,93.769997,94.68,91.91999799999999,92.959999,92.959999,36888900,0.0,0.6666666666666666,0.3333333333333333
9/23/2015,93.400002,94.32,92.800003,93.970001,93.970001,21701400,0.0,0.0,1.0
9/24/2015,93.059998,94.769997,92.239998,94.410004,94.410004,29106000,0.25,0.25,0.5
9/25/2015,95.790001,95.849998,92.059998,92.769997,92.769997,28961600,0.14285714285714285,0.14285714285714285,0.7142857142857143
9/28/2015,92.08000200000001,92.290001,88.18,89.209999,89.209999,41199900,0.0,0.0,1.0
9/29/2015,89.099998,90.059998,85.720001,86.66999799999999,86.66999799999999,42281800,0.25,0.0,0.75
9/30/2015,88.440002,90.019997,88.010002,89.900002,89.900002,36169100,0.16666666666666666,0.0,0.8333333333333334
10/1/2015,90.050003,90.949997,88.360001,90.949997,90.949997,29283700,0.3333333333333333,0.3333333333333333,0.3333333333333333
10/2/2015,88.900002,92.199997,88.370003,92.07,92.07,37881700,0.3333333333333333,0.3333333333333333,0.3333333333333333
